ts,label,dram_min_ns,cpu_khz
1782706635.271756041,pop_64,90.25,3007063
1782706645.729851223,pop_128,90.26,3007063
1782706656.085720480,pop_256,90.55,3007063
1782706666.802593745,pop_512,89.96,3007063
1782706677.899412699,pop_1024,89.61,3007063
1782706689.838606630,pop_2048,89.93,3007063
1782706703.578978351,pop_4094,90.16,3007063
1782706714.111117891,footprint_full,89.58,3007063
1782706830.126410658,end,90.12,3007063
