method,sweep,pop,working_set,run,mode,cyc_per_call,ns_per_call,dram_fills_per_call,l2_miss_per_call,freq_ghz
micro,footprint,4094,4094,10,1,740.21,198.0000,0.000135,20.179425,3.7384
literal,footprint,4094,1,0,0,,655.8128,,,
literal,footprint,4094,1,0,1,,697.3635,,,
literal,footprint,4094,2,0,0,,652.7913,,,
literal,footprint,4094,2,0,1,,688.4803,,,
literal,footprint,4094,4,0,0,,659.6094,,,
literal,footprint,4094,4,0,1,,691.0671,,,
literal,footprint,4094,8,0,0,,664.7900,,,
literal,footprint,4094,8,0,1,,695.3070,,,
literal,footprint,4094,16,0,0,,653.3065,,,
literal,footprint,4094,16,0,1,,692.7348,,,
literal,footprint,4094,32,0,0,,706.8302,,,
literal,footprint,4094,32,0,1,,754.6146,,,
literal,footprint,4094,64,0,0,,776.2666,,,
literal,footprint,4094,64,0,1,,852.7315,,,
literal,footprint,4094,128,0,0,,799.8439,,,
literal,footprint,4094,128,0,1,,856.2879,,,
literal,footprint,4094,256,0,0,,794.2427,,,
literal,footprint,4094,256,0,1,,866.1076,,,
literal,footprint,4094,512,0,0,,784.2232,,,
literal,footprint,4094,512,0,1,,856.0268,,,
literal,footprint,4094,1024,0,0,,789.6066,,,
literal,footprint,4094,1024,0,1,,853.1527,,,
literal,footprint,4094,2048,0,0,,761.1414,,,
literal,footprint,4094,2048,0,1,,803.9949,,,
literal,footprint,4094,4094,0,0,,703.4755,,,
literal,footprint,4094,4094,0,1,,737.8229,,,
