method,sweep,pop,working_set,run,mode,cyc_per_call,ns_per_call,dram_fills_per_call,l2_miss_per_call,freq_ghz
micro,footprint,4094,8,7,1,525.96,140.0000,0.000145,0.033345,3.7569
micro,footprint,4094,8,8,0,401.46,106.0000,0.000140,0.031475,3.7874
micro,footprint,4094,8,8,1,527.10,140.0000,0.000140,0.032905,3.7650
micro,footprint,4094,8,9,0,397.97,106.0000,0.000150,0.032895,3.7544
micro,footprint,4094,8,9,1,522.34,140.0000,0.000150,0.029735,3.7310
micro,footprint,4094,8,10,0,401.44,106.0000,0.000135,0.031580,3.7871
micro,footprint,4094,8,10,1,524.97,140.0000,0.000145,0.032305,3.7498
micro,footprint,4094,16,0,0,426.14,113.0000,0.000135,0.034635,3.7711
micro,footprint,4094,16,0,1,542.62,144.0000,0.000155,0.032800,3.7682
micro,footprint,4094,16,1,0,426.34,113.0000,0.000135,0.033020,3.7729
micro,footprint,4094,16,1,1,540.37,144.0000,0.000150,0.034615,3.7526
micro,footprint,4094,16,2,0,426.03,113.0000,0.000145,0.033085,3.7702
micro,footprint,4094,16,2,1,539.82,144.0000,0.000130,0.033335,3.7487
micro,footprint,4094,16,3,0,426.07,113.0000,0.000130,0.034380,3.7705
micro,footprint,4094,16,3,1,540.47,144.0000,0.000135,0.033550,3.7533
micro,footprint,4094,16,4,0,425.93,113.0000,0.000140,0.033005,3.7693
micro,footprint,4094,16,4,1,541.48,144.0000,0.000140,0.034695,3.7603
micro,footprint,4094,16,5,0,426.22,113.0000,0.000145,0.033275,3.7718
micro,footprint,4094,16,5,1,539.84,144.0000,0.000140,0.033385,3.7489
micro,footprint,4094,16,6,0,425.96,113.0000,0.000145,0.034680,3.7696
micro,footprint,4094,16,6,1,540.07,144.0000,0.000145,0.033255,3.7505
micro,footprint,4094,16,7,0,425.76,113.0000,0.000145,0.033220,3.7678
micro,footprint,4094,16,7,1,539.99,144.0000,0.000135,0.034855,3.7500
micro,footprint,4094,16,8,0,426.79,113.0000,0.000145,0.033005,3.7769
micro,footprint,4094,16,8,1,540.87,144.0000,0.000140,0.034855,3.7560
micro,footprint,4094,16,9,0,426.01,113.0000,0.000150,0.033325,3.7700
micro,footprint,4094,16,9,1,541.56,144.0000,0.000155,0.032980,3.7608
micro,footprint,4094,16,10,0,426.13,113.0000,0.000145,0.032845,3.7710
micro,footprint,4094,16,10,1,539.80,144.0000,0.000135,0.034625,3.7486
micro,footprint,4094,32,0,0,553.54,148.0000,0.000185,6.908630,3.7401
micro,footprint,4094,32,0,1,712.70,191.0000,0.000175,7.781910,3.7314
micro,footprint,4094,32,1,0,553.72,148.0000,0.000150,6.908480,3.7413
micro,footprint,4094,32,1,1,713.81,191.0000,0.000130,7.752595,3.7372
micro,footprint,4094,32,2,0,553.80,148.0000,0.000130,6.907485,3.7419
micro,footprint,4094,32,2,1,711.90,191.0000,0.000125,7.737525,3.7272
micro,footprint,4094,32,3,0,553.56,148.0000,0.000135,6.907035,3.7403
micro,footprint,4094,32,3,1,711.48,191.0000,0.000130,7.692665,3.7250
micro,footprint,4094,32,4,0,555.26,148.0000,0.000140,6.907165,3.7517
micro,footprint,4094,32,4,1,711.69,192.0000,0.000140,7.853640,3.7067
micro,footprint,4094,32,5,0,554.76,148.0000,0.000140,6.908720,3.7484
micro,footprint,4094,32,5,1,711.05,191.0000,0.000140,7.707630,3.7228
micro,footprint,4094,32,6,0,553.37,148.0000,0.000140,6.907340,3.7390
micro,footprint,4094,32,6,1,712.37,191.0000,0.000140,7.764340,3.7297
micro,footprint,4094,32,7,0,555.43,148.0000,0.000135,6.945070,3.7529
micro,footprint,4094,32,7,1,713.04,190.0000,0.000150,7.707875,3.7528
micro,footprint,4094,32,8,0,552.52,147.0000,0.000140,6.873080,3.7586
micro,footprint,4094,32,8,1,706.93,191.0000,0.000390,7.812240,3.7012
